kat,tohum,dis_test_merkez,kume,n_karo,n_hasta,auc,dogruluk,duyarlilik_ozg90,brier
0,42,0,ic_dogrulama,900,3,0.9543901234567902,0.8044444444444444,0.8822222222222222,0.15890862047672272
0,42,0,dis_dogrulama,900,3,0.91559012345679,0.8044444444444444,0.7355555555555555,0.17122352123260498
0,42,0,dis_test,900,3,0.9279358024691358,0.8422222222222222,0.7955555555555556,0.13955233991146088
0,43,0,ic_dogrulama,900,3,0.9318913580246914,0.7955555555555556,0.8,0.16729341447353363
0,43,0,dis_dogrulama,900,3,0.8651506172839507,0.7544444444444445,0.6355555555555555,0.2166650891304016
0,43,0,dis_test,900,3,0.9090518518518518,0.8422222222222222,0.7666666666666667,0.13413681089878082
0,44,0,ic_dogrulama,900,3,0.9900740740740741,0.9411111111111111,0.9733333333333334,0.045885488390922546
0,44,0,dis_dogrulama,900,3,0.8325037037037037,0.7377777777777778,0.5888888888888889,0.2388768196105957
0,44,0,dis_test,900,3,0.9226320987654321,0.8111111111111111,0.8088888888888889,0.15483371913433075
1,42,1,ic_dogrulama,900,3,0.9775703703703704,0.8622222222222222,0.9311111111111111,0.10580248385667801
1,42,1,dis_dogrulama,900,3,0.9211753086419754,0.8355555555555556,0.7866666666666666,0.12832011282444
1,42,1,dis_test,900,3,0.9626567901234568,0.8866666666666667,0.9022222222222223,0.08680040389299393
1,43,1,ic_dogrulama,900,3,0.9692,0.8622222222222222,0.8844444444444445,0.10968489199876785
1,43,1,dis_dogrulama,900,3,0.9315654320987654,0.7066666666666667,0.8422222222222222,0.24272871017456055
1,43,1,dis_test,900,3,0.9154518518518518,0.8077777777777778,0.7355555555555555,0.14980970323085785
1,44,1,ic_dogrulama,900,3,0.9919654320987653,0.9655555555555555,0.9822222222222222,0.028698883950710297
1,44,1,dis_dogrulama,900,3,0.9328148148148148,0.6355555555555555,0.8288888888888889,0.31930163502693176
1,44,1,dis_test,900,3,0.9583654320987655,0.8922222222222222,0.8933333333333333,0.08574329316616058
2,42,2,ic_dogrulama,900,3,0.9719506172839506,0.8455555555555555,0.9133333333333333,0.12414207309484482
2,42,2,dis_dogrulama,900,3,0.9793925925925927,0.9444444444444444,0.9466666666666667,0.047997813671827316
2,42,2,dis_test,900,3,0.9621777777777778,0.7066666666666667,0.8933333333333333,0.22257982194423676
2,43,2,ic_dogrulama,900,3,0.9670469135802469,0.8422222222222222,0.8844444444444445,0.12454505264759064
2,43,2,dis_dogrulama,900,3,0.9795851851851852,0.9422222222222222,0.9488888888888889,0.05154842138290405
2,43,2,dis_test,900,3,0.934004938271605,0.8044444444444444,0.8133333333333334,0.15062110126018524
2,44,2,ic_dogrulama,900,3,0.9842172839506172,0.9355555555555556,0.9577777777777777,0.05022888258099556
2,44,2,dis_dogrulama,900,3,0.9714271604938272,0.9355555555555556,0.9422222222222222,0.051587678492069244
2,44,2,dis_test,900,3,0.9474864197530863,0.6288888888888889,0.84,0.3113568127155304
3,42,3,ic_dogrulama,900,3,0.9921925925925925,0.9444444444444444,0.9866666666666667,0.036709077656269073
3,42,3,dis_dogrulama,900,3,0.9728740740740741,0.9044444444444445,0.9155555555555556,0.06714323163032532
3,42,3,dis_test,900,3,0.9685135802469137,0.9344444444444444,0.9444444444444444,0.053700875490903854
3,43,3,ic_dogrulama,900,3,0.9809037037037037,0.9177777777777778,0.9488888888888889,0.06036050617694855
3,43,3,dis_dogrulama,900,3,0.9716,0.8844444444444445,0.9133333333333333,0.08205993473529816
3,43,3,dis_test,900,3,0.9666666666666667,0.9222222222222223,0.9222222222222223,0.06681936234235764
3,44,3,ic_dogrulama,900,3,0.9887851851851852,0.9244444444444444,0.9711111111111111,0.054757457226514816
3,44,3,dis_dogrulama,900,3,0.9896987654320988,0.9466666666666667,0.9622222222222222,0.03957832232117653
3,44,3,dis_test,900,3,0.9640246913580247,0.9333333333333333,0.9177777777777778,0.058136869221925735
4,42,4,ic_dogrulama,900,3,0.9882814814814815,0.9355555555555556,0.9666666666666667,0.05060815438628197
4,42,4,dis_dogrulama,900,3,0.9563703703703704,0.8733333333333333,0.8888888888888888,0.10235603898763657
4,42,4,dis_test,900,3,0.9627061728395062,0.8855555555555555,0.8822222222222222,0.08619476109743118
4,43,4,ic_dogrulama,900,3,0.9740888888888889,0.9233333333333333,0.9355555555555556,0.06145944446325302
4,43,4,dis_dogrulama,900,3,0.9677629629629629,0.8888888888888888,0.9066666666666666,0.08684763312339783
4,43,4,dis_test,900,3,0.9613728395061728,0.8877777777777778,0.8733333333333333,0.08354771882295609
4,44,4,ic_dogrulama,900,3,0.9271111111111112,0.8433333333333334,0.8088888888888889,0.12992478907108307
4,44,4,dis_dogrulama,900,3,0.9785234567901235,0.8722222222222222,0.94,0.1057237982749939
4,44,4,dis_test,900,3,0.9606913580246912,0.8922222222222222,0.88,0.08787886053323746
